Problem, POM3B , Algorithm, NSGAIISC-512 , GenNo, 1 , PopSize, 100 , Median-HV, 1244998.9363 , IQR-HV, 30436.678275 , Median-spreads, 0.557444521731 , IQR-spreads, 0.0522257294625 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3B , Algorithm, SPEA2SC-1024 , GenNo, 1 , PopSize, 100 , Median-HV, 1259241.7856 , IQR-HV, 32374.50215 , Median-spreads, 0.487644820454 , IQR-spreads, 0.0318695467699 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3B , Algorithm, NSGAIISC-2048 , GenNo, 1 , PopSize, 100 , Median-HV, 1256165.86855 , IQR-HV, 26547.584875 , Median-spreads, 0.535864132474 , IQR-spreads, 0.0297897874981 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3B , Algorithm, SPEA2-normal , GenNo, 1 , PopSize, 100 , Median-HV, 1240568.64525 , IQR-HV, 25044.48 , Median-spreads, 0.485002618241 , IQR-spreads, 0.0342272725387 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3B , Algorithm, SPEA2SC-8192 , GenNo, 1 , PopSize, 100 , Median-HV, 1264886.47865 , IQR-HV, 25710.083525 , Median-spreads, 0.500414742078 , IQR-spreads, 0.0570817069231 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3B , Algorithm, SPEA2SC-4096 , GenNo, 1 , PopSize, 100 , Median-HV, 1261319.81275 , IQR-HV, 17812.2593 , Median-spreads, 0.500119318044 , IQR-spreads, 0.0412127510078 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3B , Algorithm, SPEA2SC-2048 , GenNo, 1 , PopSize, 100 , Median-HV, 1259683.926 , IQR-HV, 30705.8729 , Median-spreads, 0.477846447282 , IQR-spreads, 0.0434180261716 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3B , Algorithm, SPEA2SC-10000 , GenNo, 1 , PopSize, 100 , Median-HV, 1263173.73925 , IQR-HV, 41169.575825 , Median-spreads, 0.500938730933 , IQR-spreads, 0.056153741873 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3B , Algorithm, NSGAIISC-10000 , GenNo, 1 , PopSize, 100 , Median-HV, 1264697.8558 , IQR-HV, 24298.926275 , Median-spreads, 0.545982242737 , IQR-spreads, 0.0472399930438 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3C , Algorithm, NSGAII-normal , GenNo, 1 , PopSize, 100 , Median-HV, 876749.39265 , IQR-HV, 41673.0143 , Median-spreads, 0.562991316058 , IQR-spreads, 0.0483595952751 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3C , Algorithm, NSGAIISC-8192 , GenNo, 1 , PopSize, 100 , Median-HV, 868288.141 , IQR-HV, 37802.631775 , Median-spreads, 0.613434813653 , IQR-spreads, 0.0535789229413 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3C , Algorithm, SPEA2SC-512 , GenNo, 1 , PopSize, 100 , Median-HV, 876997.8564 , IQR-HV, 40975.131325 , Median-spreads, 0.522242134272 , IQR-spreads, 0.065039729204 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3C , Algorithm, NSGAIISC-4096 , GenNo, 1 , PopSize, 100 , Median-HV, 872009.4305 , IQR-HV, 42403.31485 , Median-spreads, 0.593956947931 , IQR-spreads, 0.0508122089651 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3C , Algorithm, SPEA2SC-100 , GenNo, 1 , PopSize, 100 , Median-HV, 862865.069 , IQR-HV, 29348.3842 , Median-spreads, 0.541478176195 , IQR-spreads, 0.0259049187106 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3C , Algorithm, NSGAIISC-1024 , GenNo, 1 , PopSize, 100 , Median-HV, 869334.6132 , IQR-HV, 37032.527125 , Median-spreads, 0.591482225249 , IQR-spreads, 0.0540997764812 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3C , Algorithm, NSGAIISC-100 , GenNo, 1 , PopSize, 100 , Median-HV, 866385.70445 , IQR-HV, 27782.365225 , Median-spreads, 0.570253492342 , IQR-spreads, 0.0573774081121 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3C , Algorithm, NSGAIISC-512 , GenNo, 1 , PopSize, 100 , Median-HV, 880588.26545 , IQR-HV, 55230.9379 , Median-spreads, 0.578737064708 , IQR-spreads, 0.0399964572112 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3C , Algorithm, SPEA2SC-1024 , GenNo, 1 , PopSize, 100 , Median-HV, 867553.59545 , IQR-HV, 36976.04585 , Median-spreads, 0.551400561614 , IQR-spreads, 0.0516052625919 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3C , Algorithm, NSGAIISC-2048 , GenNo, 1 , PopSize, 100 , Median-HV, 884164.18095 , IQR-HV, 54565.488675 , Median-spreads, 0.591587547157 , IQR-spreads, 0.0598857988064 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3C , Algorithm, SPEA2-normal , GenNo, 1 , PopSize, 100 , Median-HV, 881395.4506 , IQR-HV, 30753.618925 , Median-spreads, 0.535620215927 , IQR-spreads, 0.0268155454258 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3C , Algorithm, SPEA2SC-8192 , GenNo, 1 , PopSize, 100 , Median-HV, 872987.1748 , IQR-HV, 36628.6604 , Median-spreads, 0.574492197236 , IQR-spreads, 0.065525625375 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3C , Algorithm, SPEA2SC-4096 , GenNo, 1 , PopSize, 100 , Median-HV, 876879.21015 , IQR-HV, 54345.219175 , Median-spreads, 0.574308367547 , IQR-spreads, 0.048893028315 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3C , Algorithm, SPEA2SC-2048 , GenNo, 1 , PopSize, 100 , Median-HV, 872823.92585 , IQR-HV, 52106.651475 , Median-spreads, 0.534425957339 , IQR-spreads, 0.0508770371486 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3C , Algorithm, SPEA2SC-10000 , GenNo, 1 , PopSize, 100 , Median-HV, 884688.6298 , IQR-HV, 56565.38945 , Median-spreads, 0.548714282886 , IQR-spreads, 0.0686002495286 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3C , Algorithm, NSGAIISC-10000 , GenNo, 1 , PopSize, 100 , Median-HV, 886406.4238 , IQR-HV, 68701.7146 , Median-spreads, 0.589667168686 , IQR-spreads, 0.0800953170002 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3D , Algorithm, NSGAII-normal , GenNo, 1 , PopSize, 100 , Median-HV, 1257409.07765 , IQR-HV, 14111.082625 , Median-spreads, 0.643105108945 , IQR-spreads, 0.0477612231122 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3D , Algorithm, NSGAIISC-8192 , GenNo, 1 , PopSize, 100 , Median-HV, 1268264.91675 , IQR-HV, 20598.44595 , Median-spreads, 0.637880658018 , IQR-spreads, 0.0217638920696 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3D , Algorithm, SPEA2SC-512 , GenNo, 1 , PopSize, 100 , Median-HV, 1256944.21715 , IQR-HV, 6969.80005 , Median-spreads, 0.599822812601 , IQR-spreads, 0.0583164509753 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3D , Algorithm, NSGAIISC-4096 , GenNo, 1 , PopSize, 100 , Median-HV, 1265516.504 , IQR-HV, 21254.0776 , Median-spreads, 0.674127078874 , IQR-spreads, 0.0472903993939 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3D , Algorithm, SPEA2SC-100 , GenNo, 1 , PopSize, 100 , Median-HV, 1261023.7895 , IQR-HV, 14219.6523 , Median-spreads, 0.575733995077 , IQR-spreads, 0.0378299531816 , Median-PFS, 100.0 , IQR-PFS, 0.0
Problem, POM3D , Algorithm, NSGAIISC-1024 , GenNo, 1 , PopSize, 100 , Median-HV, 1254621.64425 , IQR-HV, 15518.640725 , Median-spreads, 0.618403947349 , IQR-spreads, 0.0655520914204 , Median-PFS, 100.0 , IQR-PFS, 0.0
